The {{c1::mitochondrion}} is the powerhouse of the cell,,science;biology
"{{c1::Photosynthesis}} turns light, water and carbon dioxide into sugar",,science;biology
"DNA is built from four bases: adenine, cytosine, guanine and {{c1::thymine}}",,science;biology
Water boils at {{100}} °C at sea level,,science;physics
Force equals mass times {{c1::acceleration::Newton's second law}},,science;physics
A {{c1::light year}} measures distance rather than time,,science;astronomy
The chemical symbol for gold is {{c1::Au}},,science;chemistry
The largest planet in the Solar System is {{c1::Jupiter}},,science;astronomy
The Earth orbits the {{c1::Sun}} once every {{c2::365}} days,,science;astronomy
{{c1::Nitrogen}} makes up most of the air we breathe; {{c1::nitrogen}} also fills a bag of crisps,,science;chemistry
An atom's {{c1::electrons}} carry a negative charge and its {{c2::protons}} a positive one,,science;chemistry
"Light travels about {{c1::300,000}} kilometres every second in a vacuum",,science;physics
