A,Alfa|Alpha,nato;phonetic;alphabet
B,Bravo,nato;phonetic;alphabet
C,Charlie,nato;phonetic;alphabet
D,Delta,nato;phonetic;alphabet
E,Echo,nato;phonetic;alphabet
F,Foxtrot,nato;phonetic;alphabet
G,Golf,nato;phonetic;alphabet
H,Hotel,nato;phonetic;alphabet
I,India,nato;phonetic;alphabet
J,Juliett|Juliet,nato;phonetic;alphabet
K,Kilo,nato;phonetic;alphabet
L,Lima,nato;phonetic;alphabet
M,Mike,nato;phonetic;alphabet
N,November,nato;phonetic;alphabet
O,Oscar,nato;phonetic;alphabet
P,Papa,nato;phonetic;alphabet
Q,Quebec,nato;phonetic;alphabet
R,Romeo,nato;phonetic;alphabet
S,Sierra,nato;phonetic;alphabet
T,Tango,nato;phonetic;alphabet
U,Uniform,nato;phonetic;alphabet
V,Victor,nato;phonetic;alphabet
W,Whiskey|Whisky,nato;phonetic;alphabet
X,X-ray|Xray,nato;phonetic;alphabet
Y,Yankee,nato;phonetic;alphabet
Z,Zulu,nato;phonetic;alphabet
