red,rojo,spanish;vocabulary;colours,0,0,1,,,6fa142717d43f842,,images/red.png
blue,azul,spanish;vocabulary;colours,0,0,1,,,ef2705418934083f,,images/blue.png
green,verde,spanish;vocabulary;colours,0,0,1,,,25f84da49e96b311,,images/green.png
yellow,amarillo,spanish;vocabulary;colours,0,0,1,,,ac6952ec50e54b79,,images/yellow.png
orange,naranja,spanish;vocabulary;colours,0,0,1,,,c9b72cec68d00055,,images/orange.png
purple,morado,spanish;vocabulary;colours,0,0,1,,,2ca0d558b2d770d7,,images/purple.png
pink,rosa,spanish;vocabulary;colours,0,0,1,,,13dc4fc6600db12e,,images/pink.png
brown,marrón,spanish;vocabulary;colours,0,0,1,,,e9f4550907c74ba0,,images/brown.png
grey,gris,spanish;vocabulary;colours,0,0,1,,,b9738dc91d5ca9c8,,images/grey.png
black,negro,spanish;vocabulary;colours,0,0,1,,,29a97489cacc8bbb,,images/black.png
