la biblioteca,library,spanish;vocabulary;nouns
el árbol,tree,spanish;vocabulary;nouns
la ciudad,city,spanish;vocabulary;nouns
el corazón,heart,spanish;vocabulary;nouns
la llave,key,spanish;vocabulary;nouns
el pájaro,bird,spanish;vocabulary;nouns
el queso,cheese,spanish;vocabulary;food
la lluvia,rain,spanish;vocabulary;weather
mañana,tomorrow|morning,spanish;vocabulary;time
la estación,station|season,spanish;vocabulary;nouns
rápido,fast|quick|quickly,spanish;vocabulary;adjectives
aprender,to learn|learn,spanish;vocabulary;verbs
